Location,Place_to_Go,Temperature
Bangalore,Water Park,39.5
Jaisalmer,Desert,37.1
Ooty,Hill Station,25.1
Delhi,Water Park,33.4
Mumbai,Beach,32.9
Kolkata,Water Park,29.5
Delhi,Water Park,38.8
Bikaner,Desert,21.9
Ooty,Hill Station,19.4
Delhi,Water Park,31.9
Shimla,Hill Station,23.1
Bikaner,Desert,22.9
Kolkata,Water Park,32.7
Jaisalmer,Desert,16.4
Delhi,Water Park,15.4
Goa,Beach,20.0
Goa,Beach,15.6
Ooty,Hill Station,32.8
Kutch,Desert,27.2
Hyderabad,Water Park,24.2
Darjeeling,Hill Station,35.5
Jaipur,Desert,33.3
Ooty,Hill Station,27.8
Kolkata,Water Park,22.6
Ooty,Hill Station,37.0
Jaisalmer,Desert,17.3
Jaipur,Desert,21.3
Bikaner,Desert,17.3
Goa,Beach,32.2
Bikaner,Desert,31.1
Mumbai,Beach,20.4
Kolkata,Water Park,21.6
Jaisalmer,Desert,10.6
Jaipur,Desert,12.2
Kutch,Desert,37.4
Darjeeling,Hill Station,16.6
Darjeeling,Hill Station,13.7
Bangalore,Water Park,12.6
Jaipur,Desert,24.6
Delhi,Water Park,30.2
Kolkata,Water Park,28.3
Hyderabad,Water Park,39.1
Jaipur,Desert,20.3
Puri,Beach,11.5
Jaisalmer,Desert,12.9
Jaisalmer,Desert,34.2
Jaipur,Desert,12.9
Shimla,Hill Station,34.5
Jaisalmer,Desert,19.5
Bikaner,Desert,33.7
Mumbai,Beach,11.3
Puri,Beach,30.3
Kolkata,Water Park,36.9
Goa,Beach,21.5
Bangalore,Water Park,28.9
Bangalore,Water Park,16.9
Shimla,Hill Station,15.3
Delhi,Water Park,34.4
Delhi,Water Park,13.7
Darjeeling,Hill Station,14.2
Darjeeling,Hill Station,25.2
Goa,Beach,29.0
Puri,Beach,23.5
Jaisalmer,Desert,20.2
Bangalore,Water Park,17.7
Jaipur,Desert,38.0
Shimla,Hill Station,20.9
Kutch,Desert,39.6
Hyderabad,Water Park,22.9
Darjeeling,Hill Station,27.9
Kolkata,Water Park,32.8
Shimla,Hill Station,19.8
Delhi,Water Park,38.4
Bikaner,Desert,17.3
Puri,Beach,26.3
Jaipur,Desert,29.3
Kolkata,Water Park,37.7
Shimla,Hill Station,19.7
Shimla,Hill Station,25.6
Shimla,Hill Station,37.8
Jaipur,Desert,19.5
Delhi,Water Park,33.6
Goa,Beach,12.9
Darjeeling,Hill Station,38.8
Manali,Hill Station,27.5
Bikaner,Desert,14.5
Bangalore,Water Park,36.5
Kolkata,Water Park,37.5
Chennai,Beach,39.4
Delhi,Water Park,39.5
Mumbai,Beach,26.5
Delhi,Water Park,25.0
Kolkata,Water Park,35.3
Jaisalmer,Desert,22.0
Jaipur,Desert,30.8
Mumbai,Beach,10.5
Puri,Beach,27.3
Jaipur,Desert,15.6
Jaisalmer,Desert,10.6
Hyderabad,Water Park,26.2
Goa,Beach,20.6
Jaipur,Desert,13.9
Ooty,Hill Station,17.0
Jaipur,Desert,38.8
Puri,Beach,18.8
Chennai,Beach,36.9
Kutch,Desert,22.9
Kolkata,Water Park,10.6
Shimla,Hill Station,20.3
Ooty,Hill Station,22.9
Delhi,Water Park,10.7
Kutch,Desert,20.3
Bikaner,Desert,35.8
Manali,Hill Station,27.4
Kolkata,Water Park,33.0
Bangalore,Water Park,11.0
Bikaner,Desert,31.6
Kolkata,Water Park,11.4
Bangalore,Water Park,38.1
Manali,Hill Station,35.8
Kutch,Desert,24.1
Puri,Beach,35.7
Puri,Beach,31.8
Mumbai,Beach,38.5
Shimla,Hill Station,12.2
Jaisalmer,Desert,20.3
Manali,Hill Station,16.0
Bikaner,Desert,27.4
Delhi,Water Park,11.3
Ooty,Hill Station,24.2
Chennai,Beach,26.4
Bangalore,Water Park,30.6
Jaipur,Desert,35.1
Kutch,Desert,38.1
Bikaner,Desert,38.8
Mumbai,Beach,29.1
Bangalore,Water Park,18.1
Shimla,Hill Station,14.4
Hyderabad,Water Park,29.5
Manali,Hill Station,34.8
Mumbai,Beach,35.4
Manali,Hill Station,18.6
Darjeeling,Hill Station,29.2
Jaisalmer,Desert,26.2
Puri,Beach,18.9
Mumbai,Beach,23.3
Kolkata,Water Park,15.2
Bikaner,Desert,11.1
Ooty,Hill Station,15.3
Chennai,Beach,37.8
Ooty,Hill Station,13.7
Jaisalmer,Desert,32.9
Kutch,Desert,25.2
Jaisalmer,Desert,39.5
Jaisalmer,Desert,27.8
Puri,Beach,13.9
Kutch,Desert,24.5
Delhi,Water Park,21.8
Ooty,Hill Station,14.2
Shimla,Hill Station,36.7
Ooty,Hill Station,18.1
Shimla,Hill Station,18.7
Ooty,Hill Station,15.1
Manali,Hill Station,25.3
Delhi,Water Park,29.5
Shimla,Hill Station,15.6
Bangalore,Water Park,26.8
Kolkata,Water Park,16.7
Jaisalmer,Desert,20.9
Jaisalmer,Desert,12.4
Chennai,Beach,15.7
Bikaner,Desert,13.0
Kutch,Desert,23.0
Hyderabad,Water Park,39.9
Goa,Beach,31.4
Kolkata,Water Park,30.1
Goa,Beach,23.5
Goa,Beach,32.9
Chennai,Beach,27.6
Bikaner,Desert,15.1
Mumbai,Beach,22.7
Manali,Hill Station,31.4
Manali,Hill Station,13.0
Manali,Hill Station,24.3
Kolkata,Water Park,37.2
Ooty,Hill Station,33.2
Darjeeling,Hill Station,36.1
Kolkata,Water Park,22.5
Manali,Hill Station,33.7
Chennai,Beach,30.4
Mumbai,Beach,34.6
Mumbai,Beach,36.9
Jaisalmer,Desert,37.8
Goa,Beach,39.5
Chennai,Beach,34.5
Jaipur,Desert,24.4
Chennai,Beach,32.0
Chennai,Beach,16.9
Ooty,Hill Station,38.1
Puri,Beach,27.7
Kolkata,Water Park,13.0
Delhi,Water Park,29.1
Shimla,Hill Station,29.6
Ooty,Hill Station,20.5
Mumbai,Beach,25.0
Ooty,Hill Station,10.4
Manali,Hill Station,24.3
Shimla,Hill Station,31.4
Ooty,Hill Station,14.4
Goa,Beach,12.6
Goa,Beach,13.5
Shimla,Hill Station,10.6
Kutch,Desert,22.5
Mumbai,Beach,25.5
Shimla,Hill Station,33.0
Mumbai,Beach,37.9
Manali,Hill Station,33.5
Jaipur,Desert,24.8
Kolkata,Water Park,20.1
Ooty,Hill Station,22.2
Hyderabad,Water Park,15.9
Kolkata,Water Park,38.9
Kutch,Desert,10.4
Darjeeling,Hill Station,26.6
Puri,Beach,15.3
Shimla,Hill Station,16.8
Puri,Beach,28.7
Jaipur,Desert,31.1
Manali,Hill Station,13.2
Hyderabad,Water Park,38.7
Manali,Hill Station,21.0
Kutch,Desert,36.8
Kolkata,Water Park,22.7
Mumbai,Beach,31.5
Manali,Hill Station,18.4
Kutch,Desert,34.4
Darjeeling,Hill Station,34.6
Shimla,Hill Station,32.5
Jaisalmer,Desert,21.9
Goa,Beach,32.2
Jaipur,Desert,11.3
Kolkata,Water Park,13.3
Mumbai,Beach,23.5
Chennai,Beach,32.2
Shimla,Hill Station,24.7
Chennai,Beach,18.0
Ooty,Hill Station,31.9
Manali,Hill Station,31.1
Kolkata,Water Park,31.6
Bikaner,Desert,34.3
Ooty,Hill Station,22.2
Delhi,Water Park,28.2
Mumbai,Beach,32.1
Chennai,Beach,26.3
Bikaner,Desert,22.2
Bikaner,Desert,25.0
Jaisalmer,Desert,10.5
Jaisalmer,Desert,12.5
Mumbai,Beach,21.4
Manali,Hill Station,17.7
Manali,Hill Station,39.2
Kolkata,Water Park,29.8
Kolkata,Water Park,37.6
Delhi,Water Park,37.4
Goa,Beach,21.8
Mumbai,Beach,37.9
Jaipur,Desert,16.2
Mumbai,Beach,20.3
Delhi,Water Park,23.1
Bangalore,Water Park,32.6
Jaipur,Desert,28.5
Puri,Beach,11.0
Ooty,Hill Station,31.7
Goa,Beach,33.0
Kolkata,Water Park,34.7
Jaipur,Desert,32.6
Bangalore,Water Park,19.3
Manali,Hill Station,10.3
Jaipur,Desert,21.0
Puri,Beach,15.2
Ooty,Hill Station,33.5
Delhi,Water Park,21.0
Jaipur,Desert,32.2
Mumbai,Beach,18.2
Darjeeling,Hill Station,35.4
Bikaner,Desert,10.1
Kutch,Desert,21.9
Darjeeling,Hill Station,29.4
Jaipur,Desert,13.7
Kolkata,Water Park,22.9
Bikaner,Desert,11.4
Goa,Beach,35.6
Kolkata,Water Park,29.9
Kutch,Desert,18.3
Chennai,Beach,35.3
Bikaner,Desert,21.7
Kutch,Desert,26.5
Chennai,Beach,10.8
Shimla,Hill Station,17.2
Hyderabad,Water Park,12.1
Bikaner,Desert,13.1
Shimla,Hill Station,13.7
Chennai,Beach,19.2
Delhi,Water Park,34.0
Kolkata,Water Park,35.3
Shimla,Hill Station,30.9
Jaisalmer,Desert,18.9
Kutch,Desert,23.0
Puri,Beach,15.7
Jaipur,Desert,13.9
Kutch,Desert,35.2
Goa,Beach,28.4
Chennai,Beach,29.4
Shimla,Hill Station,32.6
Kolkata,Water Park,18.3
Mumbai,Beach,25.1
Chennai,Beach,10.0
Jaisalmer,Desert,33.7
Bikaner,Desert,34.3
Shimla,Hill Station,29.8
Kutch,Desert,31.8
Ooty,Hill Station,23.4
Shimla,Hill Station,34.4
Puri,Beach,16.8
Delhi,Water Park,12.6
Goa,Beach,34.2
Bangalore,Water Park,36.1
Kutch,Desert,30.5
Hyderabad,Water Park,16.0
Hyderabad,Water Park,14.5
Ooty,Hill Station,10.9
Ooty,Hill Station,19.2
Jaisalmer,Desert,26.9
Puri,Beach,12.0
Ooty,Hill Station,39.9
Chennai,Beach,15.2
Puri,Beach,30.0
Shimla,Hill Station,35.0
Manali,Hill Station,33.9
Bikaner,Desert,22.6
Ooty,Hill Station,26.2
Jaisalmer,Desert,34.8
Puri,Beach,19.5
Manali,Hill Station,14.9
Bikaner,Desert,26.1
Shimla,Hill Station,26.2
Bikaner,Desert,23.0
Kolkata,Water Park,10.3
Puri,Beach,30.4
Kutch,Desert,20.7
Manali,Hill Station,14.8
Mumbai,Beach,20.1
Goa,Beach,12.4
Hyderabad,Water Park,27.7
Kolkata,Water Park,37.6
Puri,Beach,32.4
Manali,Hill Station,26.8
Goa,Beach,16.1
Jaipur,Desert,35.6
Chennai,Beach,33.2
Delhi,Water Park,34.2
Ooty,Hill Station,11.5
Puri,Beach,14.0
Puri,Beach,10.1
Hyderabad,Water Park,27.8
Darjeeling,Hill Station,27.3
Mumbai,Beach,39.4
Manali,Hill Station,30.8
Ooty,Hill Station,35.2
Bangalore,Water Park,22.3
Delhi,Water Park,21.3
Bikaner,Desert,26.4
Kolkata,Water Park,13.1
Darjeeling,Hill Station,32.6
Goa,Beach,14.9
Hyderabad,Water Park,10.7
Kolkata,Water Park,36.5
Puri,Beach,35.6
Puri,Beach,22.9
Jaisalmer,Desert,18.5
Bangalore,Water Park,26.5
Manali,Hill Station,25.9
Delhi,Water Park,13.3
Bikaner,Desert,11.6
Manali,Hill Station,22.1
Darjeeling,Hill Station,15.0
Shimla,Hill Station,20.7
Ooty,Hill Station,13.3
Chennai,Beach,23.0
Mumbai,Beach,36.7
Kutch,Desert,11.5
Mumbai,Beach,11.7
Manali,Hill Station,11.4
Hyderabad,Water Park,22.1
Shimla,Hill Station,20.0
Bikaner,Desert,28.2
Goa,Beach,23.4
Jaipur,Desert,16.0
Hyderabad,Water Park,17.6
Delhi,Water Park,28.5
Bangalore,Water Park,22.3
Ooty,Hill Station,15.2
Jaipur,Desert,13.0
Ooty,Hill Station,26.9
Hyderabad,Water Park,18.2
Mumbai,Beach,35.1
Jaisalmer,Desert,36.2
Kutch,Desert,13.0
Hyderabad,Water Park,26.2
Hyderabad,Water Park,25.2
Darjeeling,Hill Station,37.9
Bangalore,Water Park,34.2
Chennai,Beach,35.1
Ooty,Hill Station,24.5
Kolkata,Water Park,31.8
Ooty,Hill Station,20.2
Jaipur,Desert,14.4
Delhi,Water Park,36.0
Delhi,Water Park,15.5
Shimla,Hill Station,12.9
Delhi,Water Park,25.5
Goa,Beach,11.6
Mumbai,Beach,12.3
Ooty,Hill Station,21.4
Bangalore,Water Park,12.8
Jaisalmer,Desert,17.4
Kutch,Desert,18.2
Puri,Beach,12.7
Delhi,Water Park,21.1
Delhi,Water Park,34.2
Manali,Hill Station,12.3
Kutch,Desert,11.8
Puri,Beach,22.4
Kolkata,Water Park,16.1
Puri,Beach,37.3
Manali,Hill Station,24.5
Ooty,Hill Station,38.9
Kolkata,Water Park,15.5
Bikaner,Desert,27.0
Manali,Hill Station,39.9
Bangalore,Water Park,12.4
Manali,Hill Station,19.5
Ooty,Hill Station,33.6
Darjeeling,Hill Station,15.5
Bangalore,Water Park,24.7
Kutch,Desert,12.4
Manali,Hill Station,27.4
Bangalore,Water Park,23.8
Puri,Beach,29.4
Goa,Beach,30.1
Jaipur,Desert,13.7
Chennai,Beach,22.3
Kolkata,Water Park,20.1
Darjeeling,Hill Station,11.9
Jaipur,Desert,14.5
Goa,Beach,26.2
Manali,Hill Station,22.1
Shimla,Hill Station,30.0
Darjeeling,Hill Station,25.5
Delhi,Water Park,17.6
Mumbai,Beach,30.1
Manali,Hill Station,35.4
Darjeeling,Hill Station,13.2
Jaipur,Desert,20.2
Ooty,Hill Station,16.8
Jaipur,Desert,17.2
Shimla,Hill Station,37.3
Jaisalmer,Desert,38.2
Delhi,Water Park,11.3
Shimla,Hill Station,10.4
Jaisalmer,Desert,33.2
Jaisalmer,Desert,34.7
Hyderabad,Water Park,35.4
Darjeeling,Hill Station,28.1
Delhi,Water Park,19.1
Manali,Hill Station,29.9
Ooty,Hill Station,28.1
Bangalore,Water Park,20.0
Kolkata,Water Park,31.0
Bikaner,Desert,21.9
Jaisalmer,Desert,35.5
Manali,Hill Station,30.2
Goa,Beach,31.1
Goa,Beach,33.7
Mumbai,Beach,25.3
Delhi,Water Park,40.0
Jaipur,Desert,19.1
Chennai,Beach,20.0
Goa,Beach,18.8
Kolkata,Water Park,23.7
Kutch,Desert,36.8
Hyderabad,Water Park,20.4
Jaisalmer,Desert,27.4
Darjeeling,Hill Station,16.9
Delhi,Water Park,32.4
Darjeeling,Hill Station,21.1
Delhi,Water Park,36.5
Shimla,Hill Station,15.2
Darjeeling,Hill Station,23.7
Puri,Beach,19.6
Shimla,Hill Station,30.7
Delhi,Water Park,25.9
Kolkata,Water Park,34.2
Delhi,Water Park,18.2
Darjeeling,Hill Station,29.4
Ooty,Hill Station,36.2
Goa,Beach,35.8
Manali,Hill Station,25.4
Bangalore,Water Park,28.8
Bangalore,Water Park,15.8
Hyderabad,Water Park,34.0
Kolkata,Water Park,12.3
Delhi,Water Park,16.3
Goa,Beach,21.5
Hyderabad,Water Park,37.5
Jaipur,Desert,31.4
Shimla,Hill Station,31.5
Hyderabad,Water Park,10.5
Puri,Beach,11.4
Jaipur,Desert,33.6
Mumbai,Beach,20.8
Hyderabad,Water Park,10.6
Goa,Beach,19.7
Bikaner,Desert,19.6
Manali,Hill Station,14.1
Jaisalmer,Desert,12.0
Jaipur,Desert,25.6
Manali,Hill Station,31.2
Delhi,Water Park,17.4
Goa,Beach,36.8
Jaipur,Desert,32.7
Jaisalmer,Desert,19.8
Kutch,Desert,30.4
Manali,Hill Station,34.9
Kolkata,Water Park,24.7
Delhi,Water Park,15.0
Goa,Beach,28.5
Bangalore,Water Park,32.1
Bikaner,Desert,12.4
Bangalore,Water Park,19.2
Kolkata,Water Park,35.4
Kutch,Desert,34.1
Delhi,Water Park,27.5
Kolkata,Water Park,34.8
Puri,Beach,22.7
Darjeeling,Hill Station,35.6
Ooty,Hill Station,26.0
Chennai,Beach,19.5
Jaipur,Desert,14.0
Puri,Beach,10.1
Kolkata,Water Park,16.0
Delhi,Water Park,32.5
Hyderabad,Water Park,19.4
Delhi,Water Park,28.6
Darjeeling,Hill Station,10.1
Kolkata,Water Park,25.9
Delhi,Water Park,10.3
Goa,Beach,33.0
Shimla,Hill Station,31.2
Hyderabad,Water Park,30.3
Mumbai,Beach,31.9
Darjeeling,Hill Station,16.1
Delhi,Water Park,35.4
Delhi,Water Park,29.9
Chennai,Beach,19.7
Chennai,Beach,11.6
Goa,Beach,34.5
Puri,Beach,15.4
Jaisalmer,Desert,32.2
Delhi,Water Park,36.6
Bangalore,Water Park,33.4
Shimla,Hill Station,36.2
Shimla,Hill Station,32.3
Bangalore,Water Park,20.6
Darjeeling,Hill Station,32.4
Darjeeling,Hill Station,22.8
Delhi,Water Park,14.9
Hyderabad,Water Park,12.4
Bangalore,Water Park,11.9
Kolkata,Water Park,11.0
Ooty,Hill Station,37.7
Goa,Beach,34.4
Manali,Hill Station,38.1
Puri,Beach,15.8
Bikaner,Desert,32.4
Jaisalmer,Desert,22.3
Shimla,Hill Station,14.3
Chennai,Beach,23.4
Manali,Hill Station,30.4
Darjeeling,Hill Station,35.1
Puri,Beach,38.7
Delhi,Water Park,17.5
Kutch,Desert,11.9
Kutch,Desert,16.0
Shimla,Hill Station,24.1
Chennai,Beach,15.2
Bikaner,Desert,22.7
Mumbai,Beach,32.3
Hyderabad,Water Park,11.1
Darjeeling,Hill Station,35.0
Ooty,Hill Station,25.7
Ooty,Hill Station,15.8
Delhi,Water Park,21.5
Puri,Beach,10.1
Chennai,Beach,23.1
Hyderabad,Water Park,31.0
Manali,Hill Station,11.8
Goa,Beach,15.6
Ooty,Hill Station,10.2
Manali,Hill Station,21.4
Chennai,Beach,16.1
Kutch,Desert,38.3
Jaisalmer,Desert,25.9
Bikaner,Desert,21.4
Jaisalmer,Desert,33.7
Chennai,Beach,12.9
Kolkata,Water Park,15.3
Kolkata,Water Park,16.4
Ooty,Hill Station,26.7
Ooty,Hill Station,21.1
Hyderabad,Water Park,38.8
Shimla,Hill Station,28.2
Hyderabad,Water Park,19.0
Jaipur,Desert,27.4
Bikaner,Desert,14.8
Chennai,Beach,34.5
Hyderabad,Water Park,15.6
Delhi,Water Park,38.3
Kolkata,Water Park,16.0
Bikaner,Desert,12.2
Manali,Hill Station,24.1
Shimla,Hill Station,14.2
Mumbai,Beach,23.8
Darjeeling,Hill Station,24.2
Jaipur,Desert,38.2
Bikaner,Desert,18.1
Mumbai,Beach,24.9
Kolkata,Water Park,20.6
Kutch,Desert,26.1
Kutch,Desert,15.1
Delhi,Water Park,25.2
Delhi,Water Park,14.9
Shimla,Hill Station,21.1
Chennai,Beach,34.4
Manali,Hill Station,32.2
Ooty,Hill Station,36.9
Ooty,Hill Station,13.5
Goa,Beach,35.5
Bangalore,Water Park,18.1
Delhi,Water Park,39.8
Kolkata,Water Park,10.8
Mumbai,Beach,37.1
Jaisalmer,Desert,31.4
Goa,Beach,27.2
Hyderabad,Water Park,35.7
Hyderabad,Water Park,16.2
Manali,Hill Station,17.8
Jaisalmer,Desert,31.6
Darjeeling,Hill Station,39.6
Hyderabad,Water Park,32.3
Manali,Hill Station,10.5
Goa,Beach,31.4
Puri,Beach,37.9
Jaisalmer,Desert,12.3
Kolkata,Water Park,12.2
Mumbai,Beach,25.6
Kolkata,Water Park,13.5
Darjeeling,Hill Station,29.2
Jaisalmer,Desert,20.0
Delhi,Water Park,22.5
Mumbai,Beach,22.9
Bangalore,Water Park,21.5
Delhi,Water Park,10.7
Chennai,Beach,10.7
Shimla,Hill Station,10.4
Bikaner,Desert,16.0
Darjeeling,Hill Station,28.0
Hyderabad,Water Park,17.6
Puri,Beach,34.7
Goa,Beach,23.2
Mumbai,Beach,12.8
Shimla,Hill Station,27.9
Darjeeling,Hill Station,33.5
Puri,Beach,26.7
Kutch,Desert,31.4
Bikaner,Desert,13.8
Ooty,Hill Station,18.6
Hyderabad,Water Park,30.2
Darjeeling,Hill Station,35.9
Bikaner,Desert,27.2
Chennai,Beach,20.5
Kolkata,Water Park,13.5
Bangalore,Water Park,31.5
Kolkata,Water Park,36.0
Kutch,Desert,16.5
Goa,Beach,32.5
Kolkata,Water Park,14.7
Kutch,Desert,32.5
Shimla,Hill Station,36.8
Bangalore,Water Park,21.6
Manali,Hill Station,16.8
Delhi,Water Park,15.4
Bangalore,Water Park,11.8
Chennai,Beach,34.7
Darjeeling,Hill Station,22.4
Manali,Hill Station,22.0
Shimla,Hill Station,14.2
Bikaner,Desert,27.4
Chennai,Beach,13.5
Shimla,Hill Station,26.6
Ooty,Hill Station,17.0
Chennai,Beach,28.4
Jaipur,Desert,18.4
Jaisalmer,Desert,22.3
Jaipur,Desert,13.5
Puri,Beach,33.4
Puri,Beach,18.1
Jaipur,Desert,28.5
Puri,Beach,27.7
Manali,Hill Station,33.1
Shimla,Hill Station,31.5
Jaisalmer,Desert,21.2
Hyderabad,Water Park,18.3
Hyderabad,Water Park,37.7
Manali,Hill Station,39.2
Kutch,Desert,11.3
Kutch,Desert,10.1
Kolkata,Water Park,37.9
Ooty,Hill Station,28.9
Kutch,Desert,12.5
Chennai,Beach,17.8
Mumbai,Beach,25.0
Bangalore,Water Park,12.8
Jaipur,Desert,30.4
Kutch,Desert,35.6
Kolkata,Water Park,23.2
Kolkata,Water Park,19.2
Jaisalmer,Desert,39.2
Jaipur,Desert,34.4
Jaipur,Desert,34.2
Hyderabad,Water Park,14.9
Manali,Hill Station,32.6
Manali,Hill Station,24.2
Jaisalmer,Desert,19.7
Jaipur,Desert,34.4
Manali,Hill Station,28.4
Ooty,Hill Station,21.3
Delhi,Water Park,24.9
Jaisalmer,Desert,22.5
Manali,Hill Station,38.7
Hyderabad,Water Park,38.1
Bikaner,Desert,28.8
Ooty,Hill Station,18.1
Jaipur,Desert,14.1
Kutch,Desert,23.6
Shimla,Hill Station,27.4
Kutch,Desert,30.7
Kolkata,Water Park,23.2
Chennai,Beach,11.4
Kolkata,Water Park,19.5
Chennai,Beach,33.3
Jaisalmer,Desert,10.8
Darjeeling,Hill Station,33.8
Jaisalmer,Desert,18.9
Mumbai,Beach,37.8
Darjeeling,Hill Station,35.1
Ooty,Hill Station,21.6
Shimla,Hill Station,23.5
Bikaner,Desert,15.9
Puri,Beach,27.3
Puri,Beach,36.8
Jaisalmer,Desert,11.4
Mumbai,Beach,16.4
Kutch,Desert,38.9
Bikaner,Desert,23.9
Bangalore,Water Park,20.1
Mumbai,Beach,15.7
Shimla,Hill Station,18.4
Manali,Hill Station,19.5
Mumbai,Beach,16.3
Darjeeling,Hill Station,10.6
Bangalore,Water Park,18.6
Ooty,Hill Station,11.9
Ooty,Hill Station,30.2
Mumbai,Beach,22.3
Ooty,Hill Station,15.5
Bangalore,Water Park,24.5
Hyderabad,Water Park,16.7
Puri,Beach,36.0
Manali,Hill Station,32.0
Puri,Beach,10.7
Mumbai,Beach,12.1
Jaipur,Desert,20.6
Mumbai,Beach,30.5
Hyderabad,Water Park,27.2
Hyderabad,Water Park,36.4
Chennai,Beach,18.8
Darjeeling,Hill Station,30.6
Puri,Beach,34.5
Shimla,Hill Station,11.3
Jaisalmer,Desert,16.0
Hyderabad,Water Park,23.1
Manali,Hill Station,35.5
Puri,Beach,33.4
Mumbai,Beach,32.3
Darjeeling,Hill Station,31.6
Hyderabad,Water Park,28.8
Bangalore,Water Park,35.1
Mumbai,Beach,37.2
Chennai,Beach,33.0
Hyderabad,Water Park,19.2
Mumbai,Beach,11.4
Darjeeling,Hill Station,31.7
Puri,Beach,14.5
Jaipur,Desert,22.6
Kutch,Desert,38.6
Shimla,Hill Station,32.2
Kutch,Desert,31.6
Jaisalmer,Desert,18.6
Kutch,Desert,13.3
Puri,Beach,38.9
Goa,Beach,18.8
Delhi,Water Park,23.8
Hyderabad,Water Park,23.5
Jaisalmer,Desert,20.4
Bangalore,Water Park,38.3
Delhi,Water Park,24.0
Darjeeling,Hill Station,34.0
Manali,Hill Station,13.7
Kolkata,Water Park,39.2
Jaisalmer,Desert,39.2
Shimla,Hill Station,24.5
Bangalore,Water Park,16.6
Bangalore,Water Park,31.7
Puri,Beach,31.3
Ooty,Hill Station,28.5
Bikaner,Desert,33.2
Delhi,Water Park,23.6
Ooty,Hill Station,24.5
Shimla,Hill Station,22.8
Kolkata,Water Park,27.4
Ooty,Hill Station,10.8
Kolkata,Water Park,18.6
Ooty,Hill Station,20.9
Manali,Hill Station,11.4
Jaipur,Desert,11.7
Puri,Beach,12.3
Mumbai,Beach,25.4
Bangalore,Water Park,32.9
Jaisalmer,Desert,26.8
Hyderabad,Water Park,30.3
Delhi,Water Park,29.0
Hyderabad,Water Park,35.5
Chennai,Beach,39.1
Delhi,Water Park,36.6
Puri,Beach,16.6
Darjeeling,Hill Station,20.2
Jaipur,Desert,32.8
Bikaner,Desert,38.0
Goa,Beach,17.7
Jaipur,Desert,18.5
Shimla,Hill Station,27.7
Darjeeling,Hill Station,28.9
Delhi,Water Park,20.3
Delhi,Water Park,18.8
Shimla,Hill Station,28.0
Shimla,Hill Station,14.8
Chennai,Beach,27.8
Bikaner,Desert,34.1
Puri,Beach,34.5
Hyderabad,Water Park,16.5
Jaipur,Desert,15.6
Jaipur,Desert,14.1
Hyderabad,Water Park,32.7
Jaisalmer,Desert,16.0
Shimla,Hill Station,36.0
Jaisalmer,Desert,29.9
Puri,Beach,19.9
Goa,Beach,21.1
Kutch,Desert,16.4
Hyderabad,Water Park,29.3
Jaipur,Desert,30.9
Kutch,Desert,23.5
Hyderabad,Water Park,30.4
Bikaner,Desert,12.3
Bangalore,Water Park,35.6
Manali,Hill Station,22.6
Kutch,Desert,27.3
Bikaner,Desert,24.4
Darjeeling,Hill Station,11.4
Hyderabad,Water Park,38.4
Jaipur,Desert,27.7
Jaisalmer,Desert,14.6
Manali,Hill Station,25.6
Ooty,Hill Station,35.0
Kolkata,Water Park,37.6
Bangalore,Water Park,39.7
Delhi,Water Park,39.6
Puri,Beach,21.3
Darjeeling,Hill Station,21.5
Shimla,Hill Station,34.5
Goa,Beach,13.9
Mumbai,Beach,17.1
Hyderabad,Water Park,26.1
Darjeeling,Hill Station,16.6
Darjeeling,Hill Station,37.6
Bangalore,Water Park,28.4
Manali,Hill Station,19.4
Manali,Hill Station,13.6
Goa,Beach,18.2
Darjeeling,Hill Station,10.5
Bikaner,Desert,29.2
Shimla,Hill Station,15.1
Jaisalmer,Desert,19.2
Mumbai,Beach,11.3
Shimla,Hill Station,22.8
Delhi,Water Park,31.3
Jaipur,Desert,39.0
Manali,Hill Station,28.9
Bikaner,Desert,12.8
Kutch,Desert,35.7
Kolkata,Water Park,27.2
Hyderabad,Water Park,13.9
Delhi,Water Park,37.7
Kolkata,Water Park,19.5
Hyderabad,Water Park,22.3
Manali,Hill Station,18.5
Chennai,Beach,14.4
Chennai,Beach,36.7
Hyderabad,Water Park,16.8
Delhi,Water Park,34.7
Puri,Beach,16.2
Kolkata,Water Park,12.5
Ooty,Hill Station,13.7
Shimla,Hill Station,13.3
Jaipur,Desert,24.5
Hyderabad,Water Park,11.2
Jaisalmer,Desert,34.5
Delhi,Water Park,19.0
Mumbai,Beach,11.1
Kutch,Desert,36.9
Jaipur,Desert,19.4
Kutch,Desert,23.3
Goa,Beach,15.1
Kolkata,Water Park,30.0
Shimla,Hill Station,22.3
Chennai,Beach,38.3
Puri,Beach,21.0
Darjeeling,Hill Station,14.6
Jaisalmer,Desert,31.4
Shimla,Hill Station,37.3
Darjeeling,Hill Station,33.5
Ooty,Hill Station,30.5
Ooty,Hill Station,33.6
Jaipur,Desert,14.7
Jaipur,Desert,32.3
Kutch,Desert,19.7
Darjeeling,Hill Station,28.9
Chennai,Beach,13.2
Hyderabad,Water Park,30.2
Darjeeling,Hill Station,11.9
Darjeeling,Hill Station,15.9
Delhi,Water Park,11.8
Bangalore,Water Park,35.6
Shimla,Hill Station,10.8
Goa,Beach,10.8
Bikaner,Desert,22.1
Darjeeling,Hill Station,30.1
Hyderabad,Water Park,22.6
Shimla,Hill Station,17.4
Kolkata,Water Park,34.7
Puri,Beach,13.0
